page_key,store_name
page_1,IT
page_2,IT
page_3,IT
page_4,IT
page_5,IT
page_6,IT
page_7,IT
page_8,IT
page_9,IT
page_10,IT
page_11,IT
page_12,IT
page_13,IT
page_14,IT
page_1_fr,FR
page_2_fr,FR
page_3_fr,FR
page_4_fr,FR
page_5_fr,FR
page_6_fr,FR
page_7_fr,FR
page_8_fr,FR
page_9_fr,FR
page_10_fr,FR
page_11_fr,FR
page_12_fr,FR
page_13_fr,FR
page_14_fr,FR
page_1_gr,GR
page_2_gr,GR
page_3_gr,GR
page_4_gr,GR
page_5_gr,GR
page_6_gr,GR
page_7_gr,GR
page_8_gr,GR
page_9_gr,GR
page_10_gr,GR
page_11_gr,GR
page_12_gr,GR
page_13_gr,GR
page_14_gr,GR
