payment_method_key,store
dummyPaymentInvoice,PL
dummyPaymentCreditCard,PL
adyenCreditCard,PL
dummyPrepayment,PL
BenefitVouchers,PL
EVoucher,PL
ShoppingPoints,PL
EVoucherMarketer,PL
Cashback,PL
dummyPaymentInvoice,SK
dummyPaymentCreditCard,SK
adyenCreditCard,SK
dummyPrepayment,SK
BenefitVouchers,SK
EVoucher,SK
ShoppingPoints,SK
EVoucherMarketer,SK
Cashback,SK
dummyPaymentInvoice,CZ
dummyPaymentCreditCard,CZ
adyenCreditCard,CZ
dummyPrepayment,CZ
BenefitVouchers,CZ
EVoucher,CZ
ShoppingPoints,CZ
EVoucherMarketer,CZ
Cashback,CZ
