navigation_key,node_key,parent_node_key,node_type,title.en_US,url.en_US,css_class.en_US,valid_from,valid_to,title.pl_PL,title.sk_Sk,title.cs_CZ,url.pl_PL,url.sk_Sk,url.cs_CZ,css_class.pl_PL,css_class.sk_Sk,css_class.cs_CZ
FOOTER_NAVIGATION_INFO,node_key_96,,cms_page,About myWorld.com,/en/about-us,,,,O MyWorld.com.,O MYWORLD.com,O MyWorld.com.,/pl/about-us,/sk/about-us,/cz/about-us,,,
FOOTER_NAVIGATION_INFO,node_key_eliteclub,,cms_page,EliteClub,/en/eliteclub,,,,ELITECLUB.,Eliteclub,Eliteclub.,/pl/eliteclub,/sk/eliteclub,/cz/eliteclub,,,
FOOTER_NAVIGATION_INFO,node_key_lyconet_store,,cms_page,Lyconet,/en/lyconet-store,,,,Lyconet.,Lyconet,Lyconet.,/pl/lyconet-store,/sk/lyconet-store,/cz/lyconet-store,,,
FOOTER_NAVIGATION_INFO,node_key_onesense,,cms_page,ONESENSE,/en/onesense,,,,Onesense.,Treska,Onsense,/pl/onesense,/sk/onesense,/cz/onesense,,,
FOOTER_NAVIGATION_LEGAL,node_key_33,,cms_page,Imprint,/en/imprint,,,,Odcisk,Odtlačok,Otisk,/pl/imprint,/sk/imprint,/cz/imprint,,,
FOOTER_NAVIGATION_LEGAL,node_key_35,,cms_page,Privacy Policy,/en/privacy,,,,Polityka prywatności,Zásady ochrany osobných údajov,Zásady ochrany osobních údajů,/pl/privacy,/sk/privacy,/cz/privacy,,,
FOOTER_NAVIGATION_LEGAL,node_key_94,,cms_page,Terms and Conditions,/en/gtc,,,,Regulamin,Podmienky,Pravidla a podmínky,/pl/gtc,/sk/gtc,/cz/gtc,,,
FOOTER_NAVIGATION_LEGAL,node_key_95,,cms_page,Terms of use,/en/terms-of-use,,,,Warunki korzystania,Podmienky používania,Podmínky použití,/pl/terms-of-use,/sk/terms-of-use,/cz/terms-of-use,,,
FOOTER_NAVIGATION_LEGAL,node_key_row,,cms_page,Right of withdrawal,/en/row,,,,Prawo odstąpienia od umowy,Právo na stiahnutie,Právo odstoupení od smlouvy,/pl/row,/sk/row,/cz/row,,,
FOOTER_NAVIGATION_INFO,node_key_contact,,external_url,Contact,https://www.myworld.com/contact?formularTypeID=General,,,,Kontakt,Kontakt,Kontakt,https://www.myworld.com/contact?formularTypeID=General,https://www.myworld.com/contact?formularTypeID=General,https://www.myworld.com/contact?formularTypeID=General,,,
SOCIAL_LINKS,node_key_39,,external_url,Twitter,https://twitter.com/myWorld_uk/,twitter,,,Świergot,Twitter,Cvrlikání,https://twitter.com/myWorld_uk/,https://twitter.com/myWorld_uk/,https://twitter.com/myWorld_uk/,,,
SOCIAL_LINKS,node_key_40,,external_url,Pinterest,https://www.pinterest.com/myworldofficial/,pinterest,,,Pinterest,Pútavý,Pinterest.,https://www.pinterest.com/myworldofficial/,https://www.pinterest.com/myworldofficial/,https://www.pinterest.com/myworldofficial/,,,
SOCIAL_LINKS,node_key_41,,external_url,Instagram,https://www.instagram.com/myworld.global/,instagram,,,Instagram.,Instagram,Instagram,https://www.instagram.com/myworld.global/,https://www.instagram.com/myworld.global/,https://www.instagram.com/myworld.global/,,,
SOCIAL_LINKS,node_key_42,,external_url,Facebook,https://www.facebook.com/myWorld.int,facebook,,,Facebook,Facebook,Facebook,https://www.facebook.com/myWorld.int,https://www.facebook.com/myWorld.int,https://www.facebook.com/myWorld.int,,,
PARTNERS,node_key_91,,label,Paypal,,paypal,,,Paypal.,Paypal,Paypal.,,,,,,
PARTNERS,node_key_92,,label,Klarna,,klarna,,,Klarna.,Klan,Klarna,,,,,,
PARTNERS,node_key_93,,label,DHL,,dhl,,,Dhl.,Dhl,Dhl.,,,,,,
PAYMENT_PROVIDERS,node_key_36,,label,Paypal,,paypal,,,Paypal.,Paypal,Paypal.,,,,,,
PAYMENT_PROVIDERS,node_key_37,,label,Klarna,,klarna,,,Klarna.,Klan,Klarna,,,,,,
SHIPMENT_PROVIDERS,node_key_38,,label,DHL,,dhl,,,Dhl.,Dhl,Dhl.,,,,,,
